nilfs-utils 2.2.12-1
ninja 1.13.1-2
nm-connection-editor 1.36.0-1
nmap 7.98-3
nodejs 25.2.0-1
noto-fonts 1:2025.11.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.6.2-1
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
nvme-cli 2.16-1
obs-studio 32.0.1-2
odt2txt 0.5-6
okular 25.08.3-1
open-iscsi 2.1.11-1
open-vm-tools 6:13.0.5-1
opencl-headers 2:2025.07.22-1
openconnect 1:9.12-4
openssl-1.1 1.1.1.w-2
openvpn 2.6.15-1
os-prober 1.83-1
ostree 2025.6-1
otf-ipafont 003.03-9
pacman-contrib 1.13.0-1
partclone 0.3.39-1
parted 3.6-2
partimage 0.6.9-16
pavucontrol 1:6.2-1
pdfarranger 1.12.1-1
perl-cairo-gobject 1.005-5
perl-class-inspector 1.36-9
perl-clone 0.47-2
perl-data-dump 1.25-7
perl-encode-locale 1.05-14
perl-file-listing 6.16-5
perl-file-sharedir 1.118-7
perl-glib-object-introspection 0.052-1
perl-gtk3 0.038-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-image-exiftool 13.36-1
perl-io-html 1.004-7
perl-io-socket-ssl 2.095-1
perl-json 4.10-2
perl-libwww 6.81-1
perl-lwp-mediatypes 6.04-7
perl-lwp-protocol-https 6.14-3
perl-mime-charset 1.013.1-5
perl-net-http 6.24-1
perl-net-ssleay 1.94-3
perl-try-tiny 0.32-3
perl-unicode-linebreak 2019.001-9
perl-uri 5.34-1
perl-www-robotrules 6.02-15
pgcli 4.3.0-1
php 8.4.14-2
php-gd 8.4.14-2
php-imagick 3.8.0-2
picom 12.5-3
polybar 3.7.2-2
postgresql 18.0-2
postgresql-old-upgrade 17.6-2
ppp 2.5.2-1
pptpclient 1.10.0-3
progress 0.17-1
pulseaudio 17.0+r93+gbe2efb69b-1
pulseaudio-alsa 1:1.2.12-5
pv 1.10.1-1
pyenv 1:2.6.12-1
python-argcomplete 3.6.2-1
python-backports.csv 1.0.7-6
python-certifi 2025.11.12-1
python-dbus 1.4.0-1
python-devtools 0.12.2-3
python-entrypoints 0.4-6
python-jeepney 0.9.0-1
python-keyring 25.6.0-1
python-mutagen 1.47.0-3
python-mypy_extensions 1.1.0-1
python-pendulum 3.1.0-1
python-pip 25.2-1
python-poetry 2.2.1-1
python-prompt_toolkit 3.0.52-1
python-pycryptodomex 3.23.0-1
python-pygments 2.19.2-1
python-pynvim 0.6.0-1
python-pyodbc 5.3.0-1
python-pytzdata 2020.1-10
python-secretstorage 3.3.3-6
python-setproctitle 1.3.7-1
python-tabulate 0.9.0-5
python-typed-ast 1.5.5-3
python-typing_extensions 4.15.0-1
python-wcwidth 0.2.14-1
python-websockets 15.0.1-1
qemu-guest-agent 10.1.2-2
qt5-doc 5.15.18-1
qt5-sensors 5.15.18-1
qt5ct 1.9-1
qtkeychain-qt5 0.15.0-3
qtox 1.17.6-4
quazip-qt5 1.5-1
qutebrowser 3.6.1-1
r 4.5.2-2
ranger 1.9.4-4
rclone 1.71.2-1
redis 8.4.0-1
redshift 1.12-14
refind 0.14.2-1
reflector 2023-3
reiserfsprogs 3.6.27-6
rhash 1.4.6-1
ripgrep 15.1.0-1
rofi 2.0.0-1
rp-pppoe 4.0-5
rsync 3.4.1-2
rtmpdump 1:2.4.r105.6f6bb13-1
rxvt-unicode 9.31-9
rxvt-unicode-terminfo 9.31-9
scrcpy 3.3.3-4
screen 5.0.1-3
screenfetch 3.9.9-1
scrot 1.12.1-1
sddm 0.21.0-6
sdparm 1.12-1
serf 1.3.10-2
sg3_utils 1.48-1
shfmt 3.12.0-1
skim 0.20.5-1
sl 5.05-5
smartmontools 7.5-1
snapd 2.73-1
sndio 1.10.0-1
socat 1.8.0.3-2
sof-firmware 2025.05.1-1
spectacle 1:6.5.2-1
squashfs-tools 4.7.4-1
stow 2.4.1-1
streamlink 8.0.0-1
subversion 1.14.5-4
sudo 1.9.17.p2-1
surfraw 2.3.0-4
sxhkd 0.6.3-1
sxiv 26-2
syncthing 2.0.11-1
syslinux 6.04.pre3.r3.g05ac953c-4
sysstat 12.7.8-1
systemd-resolvconf 259-1
tcpdump 4.99.5-1
terminus-font 4.49.1-8
tesseract 5.5.1-2
testdisk 7.2-2
thunar 4.20.6-1
tigervnc 1.15.0-4
tk 8.6.16-1
tldr 3.4.3-2
tlp 1.8.0-1
tmux 3.5_a-1
transmission-cli 4.0.6-10
transmission-gtk 4.0.6-10
transmission-remote-gtk 1.6.0-1
trash-cli 0.24.5.26-2
tree 2.2.1-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
ttf-ubuntu-mono-nerd 3.4.0-1
typescript 5.9.3-1
udftools 2.3-2
ueberzug 18.3.1-4
ufw 0.36.2-5
unixodbc 2.3.14-1
unrar 1:7.2.1-1
unzip 6.0-23
urlscan 1.0.7-1
usb_modeswitch 2.6.2-1
usbmuxd 1.1.1-4
usbutils 019-1
v4l2loopback-dkms 0.15.2-1
valgrind 3.25.1-3
vamp-plugin-sdk 2.10.0-3
vi 1:070224-6
vim 9.1.1908-1
virt-manager 5.1.0-1
virtualbox-guest-utils-nox 7.2.4-1
vivid 0.10.1-1
vlc 3.0.21-31
vnstat 2.13-2
vpnc 1:0.5.3.r539.r239-1
vulkan-radeon 1:25.2.7-1
w3m 0.5.3.git20230713_1-1
watchexec 2.3.2-1
wayland-protocols 1.45-1
webkit2gtk 2.50.1-2
wget 1.25.0-3
wireguard-tools 1.0.20250521-1
wireless-regdb 2025.10.07-1
wireless_tools 30.pre9-4
woff2 1.0.2-6
wp-cli 2.12.0-1
wpebackend-fdo 1.16.0-1
wvdial 1.61-9
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdo 0.5.7-3
xdotool 3.20211022.1-2
xf86-input-synaptics 1.10.0-1
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-vesa 2.6.0-2
xfsprogs 6.17.0-2
xl2tpd 1.3.19-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.20-1
xorg-server-common 21.1.20-1
xorg-server-devel 21.1.20-1
xorg-server-xephyr 21.1.20-1
xorg-server-xnest 21.1.20-1
xorg-server-xvfb 21.1.20-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.9-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xournalpp 1.2.7-1
xsel 1.2.1-2
xterm 403-1
xwallpaper 0.7.6-1
yarn 1.22.22-2
yay 12.5.7-1
yq 3.4.3-2
yt-dlp 2025.11.12-2
yubico-c 1.13-7
yubico-c-client 2.15-6
yubikey-personalization 1.20.0-4
zathura 0.5.14-1
zathura-cb 0.1.12-1
zathura-pdf-mupdf 0.4.6-2
zip 3.0-11
zita-alsa-pcmi 0.6.1-2
zita-resampler 1.11.2-2
zsh 5.9-5
